logseq-desktop-bin 0.10.8-1
lrzip 0.651-2
lsb-release 2.0.r53.a86f885-1
lsof 4.99.3-2
lsscsi 0.32-1
lua 5.4.6-3
luajit 2.1.1702233742-1
lutris 0.5.16-1
lv2 1.18.10-1
lvm2 2.03.23-3
lz4 1:1.9.4-3
lzip 1.24.1-1
lzo 2.10-5
lzop 1.04-3
m17n-db 1.8.5-1
m17n-lib 1.8.4-2
m4 1.4.19-3
mailcap 2.1.54-1
make 4.4.1-2
man-db 2.12.0-1
marisa 0.2.6-11
materialx 1.38.9-1
mbedtls 3.5.2-1
mbedtls2 2.28.7-1
md4c 0.5.2-1
mdadm 4.3-2
media-player-info 24-2
mediainfo 24.03-1
mesa 1:24.0.4-2
mesa-utils 9.0.0-3
milou 6.0.3-1
miniupnpc 2.2.7-1
minizip 1:1.3.1-1
minizip-ng 4.0.5-1
mkinitcpio 38.1-1
mkinitcpio-busybox 1.36.1-1
mlt 7.22.0-3
mobile-broadband-provider-info 20230416-1
modemmanager 1.22.0-1
modemmanager-qt 6.0.0-1
motrix 1.8.19-4
movit 1.7.1-1
mpfr 4.2.1-2
mpg123 1.32.5-1
mpv 1:0.37.0-3
msgpack-c 5.0.0-2
mtdev 1.1.6-2
mtools 1:4.0.43-1
mujs 1.3.4-1
multipath-tools 0.9.8-1
mypaint-brushes1 1.3.1-1
ncurses 6.4_20230520-1
ndctl 78-1
neofetch 7.1.0-2
neovide 0.12.2-1
neovim 0.9.5-5
net-snmp 5.9.4-2
netpbm 10.86.41-1
nettle 3.9.1-1
networkmanager 1.46.0-2
networkmanager-qt 6.0.0-1
nftables 1:1.0.9-1
nilfs-utils 2.2.10-1
ninja 1.11.1-3
node-gyp 10.1.0-2
nodejs 21.7.1-1
nodejs-nopt 7.2.0-1
noto-fonts 1:24.4.1-1
noto-fonts-cjk 20230817-1
noto-fonts-emoji 1:2.042-1
npm 10.5.1-1
npth 1.7-1
nspr 4.35-2
nss 3.99-1
ntfs-3g 2022.10.3-1
numactl 2.0.18-1
obs-studio 30.1.0-1
obsidian 1.5.12-1
ocean-sound-theme 6.0.3-1
ocl-icd 2.3.2-1
odt2txt 0.5-5
okular 24.02.1-1
onetbb 2021.11.0-1
oniguruma 6.9.9-1
openal 1.23.1-1
openbsd-netcat 1.226_1-2
opencc 1.1.7-1
opencollada 1:1.6.68-3
opencolorio 2.3.2-1
opencore-amr 0.1.6-1
opencv 4.9.0-3
openexr 3.2.4-1
openimagedenoise 2.2.1-1
openimageio 2.5.9.0-1
openjpeg2 2.5.2-1
openmpi 5.0.2-8
openpgl 0.6.0-1
openpmix 4.2.9-1
openshadinglanguage 1.13.8.0-1
openssh 9.7p1-1
openssl 3.2.1-1
openssl-1.1 1.1.1.w-1
opensubdiv 3.6.0-1
openucx 1.15.0-2
openvdb 11.0.0-1
openxr 1.0.33-1
opus 1.5.1-1
orc 0.4.38-1
osinfo-db 20231215-1
oxygen 6.0.3-1
oxygen-sounds 6.0.3-1
p11-kit 0.25.3-1
p7zip-natspec 17.05-1
pacman 6.1.0-3
pacman-contrib 1.10.5-1
pacman-mirrorlist 20231001-1
pahole 1:1.26-1
pam 1.6.0-4
pambase 20230918-1
pango 1:1.52.2-1
pangomm 2.46.4-1
papirus-icon-theme 20240201-1
parted 3.6-1
paru 2.0.3-1
patch 2.7.6-10
pciutils 3.11.1-1
pcre 8.45-4
pcre2 10.43-1
pcsclite 2.0.3-1
perl 5.38.2-1
perl-error 0.17029-5
perl-libintl-perl 1.33-2
perl-mailtools 2.21-7
perl-timedate 2.33-5
phodav 3.0-2
phonon-qt6 4.12.0-4
phonon-qt6-vlc 0.12.0-2
pinentry 1.3.0-1
